,clean_text,vin
146,order msm lr white melbourn deliveri vin yet noth worri workmat order tesla last year happen got vin invoic day deliveri day later time peopl get vin invoic sort date show logic system,0
147,lr yes vin manual alloc vin know tesla donât miss order alloc,0
148,sent email tesla today via âleasingpartnerâ address enquir timelin receiv vin actual car wasnât expect quick respons afternoon someon call said iâd get vin later week latefebruari earlymarch deliveri mlr whiteblack order,0
149,itâ mix bag order date vin expect lot differ date includ late decemb depend built plan built quarter confirm order date mean littl vin assign,0
150,hi dan initi order lr midnovemb chang color first week decemb appar chang order date vin invoic like vedaprim say thing obvious nt make sens next ship china week two behind first also may still get vin day tesla given estim deliveri window also give indic whether first second ship think opinion estim twoweek deliveri window earli februari like first ship window goe march probabl like ship follow,0
151,hi deliveri timefram tesla account wait seen lr got vin begin previous week noth sinc,0
152,curious lr peopl go get vin end week,0
153,get notif via email text messag someth need check account portal receiv vin invoic issu far,0
154,yep order show week week later still vin start product begin jan ca nt imagin built enough popular lr spec look like got shitti alloc procedur,0
155,p issu vin yet order p wb say wks refer vanish past wk quit sure,0
156,yes order got vin assign base spec white extblack int wheel etc melbourn,0
157,begin noobi question prior find forum bit back forth around inclus model build like new ryzen cpu etc via text one phone call messag morn see still thought vin assign would happen month curious chines new year come countri basic goe shutdown time,0
158,sa call say bit delay factori white interior car still deliv march would see vin feb iâv got white lr white interior order order date regard stephen,0
159,vedaprim mention vin alloc normal take week anyway probabl abnorm one yet,0
160,nt receiv anyth sa even vin assign keep refresh till vin final invoic appear account keep refresh pray,0
161,got vin back invoic anoth stori haha,0
162,yea order th definit emot rollercoast ride wait mythic vin alloc lol,0
163,gave refreshingcheck app vin edd wrote crude python script login everi hour search vin send email find one get back import thing lol,0
164,updat order edd vin found sourc code day ago final invoic issu morn car build date invoic decid way go tradein whether tradein tesla sell back origin dealer stevet,1
165,progress today rwd exterior blue interior black od edd chatswood pickup vin sourc found invoic receiv built,0
166,vin order help finish script autom vin check process chang tesla profil page obvious vin begin lrw sourc code anyth els differ,0
167,link show vin glovebox section final invoic avail,0
168,thank still show rn case understand case vin hidden sourc code chang,0
169,got invoic issu today progress far rwd sr white ext black int order date vin assign invoic issu vehicl build date estim deliveri date februari februari locat melbourn,0
170,ask ye shall reciev requir bit mess around wrote raspberri pi mayb keep busi hour wait vin,0
171,yeah howev order new one coordin colour style want confirm vin place order keep option open cancel come chang colour requir,0
172,morn crystal dock shanghai would depend new vin assign start see trickl next week expect week ship delay get port,0
173,one first text messag say vinvehicl vin sourc code,0
174,saw edd updat eg first app web page found vin sourc code receiv follow sms tesla hour later tesla updat vehicl assign order visit tesla account view deliveri estim complet outstand task tslaaccount closer deliveri estim visibl tesla account receiv sms schedul express deliveri appoint,1
175,week wait order car like morn crystal youâll receiv vin earli week other vin alreadi like morn mida,0
176,current posit crystal take norther rout mida tesla ship definit get vin invoic week mida happi day,0
177,us order cut nt vin imagin car boat anoth boat hope vin soon,0
178,look like vin assign happen other mention got vin come morn order made cut quarter rwd sport wheel exterior white interior black od edd alexandria pickup,1
179,sa mention next round vin assign occur around th mayb see cancel come next queue,0
180,jump join wait mp exterior black interior black od edd na vin na nt look like anyon mp got vin yet either,0
181,clue control vin assign probabl cover back side say right case delay,0
182,hey team place order novemb week estim sydney eta portal find vin use url shown account idea vehicl would morn crystal mida anyon found estim drop usual deliveri fall within period mention,1
183,exact config pickup locat order edd later got vin though think batch car en rout mida,0
184,iâm tri understand work exact config order vin edd logic mayb itâ base locat,0
185,hi iâv order model standard rang vin sourc code brisban pick know car come amd ryzen chip intel chip estim deliveri februari thank,1
186,check vin sourc code alway hope,0
187,yes got vin invoic full payment complet build date jan strang may two week later anoth order place later mine lol,0
188,one canberra assign vin chanc,0
189,ok great alway nervous wait vin alloc haha also order rwd white black act,0
190,canberra order mine vin invoic yet,0
191,spoke sale rep miss vin advis next ship come big one car expect vin next bus day order date model long rang locat canberra,0
192,wait tesla nerv wrack wait first born child first born like ultrasound look week tesla like refresh check hidden vin tmc other time day go clean brows histori right post case wife check control purs,0
193,likewis saw good info sure vin specul funni stori sign yesterday think st feb stoopid sign hour midnight pacif time bill midnight lol oh well anoth veda hard work,0
194,would need vin number take advantag servic though,0
195,take full advantag yes join nt vin confid car current right solid guestim arriv friendsfamili think weirdo care much car nt understand nice group like mind peopl,0
196,subscrib vin discord discuss prove worth everi dollar total two month quit happi valu happi vin invoic insur peppermoney sort watch ship crawl along,0
197,order nooption rwd day brisban vin either live vicari expect cours happi time end get car,0
198,long time lurk final join comment order day cutov week stock standard rwd white black seat went chadston vic showroom order car need add tesla corpor program discount sa appli discount told car need deliv mar discount appli vin yet noth app sinc today app say week hope big one ship,0
199,hi first forum post order perform exterior midnight silver interior black order date vin yes issu vin final invoic late novemb perth pickup estim deliveri date read today date ever sinc christma time tick one day time time pass exampl today edd say nd feb th feb tomorrow say rd feb th feb anybodi insight nt contact sa yet thought simpli wait make contact seem odd,1
200,account also say week show edd last week vin yet either od melbourn rwd whiteblack,0
201,would thought morn crystal around day port kembla tesla board would vin possibl invoic,0
202,car order date brisban page nt usual data right also say week order date last time date rang disappear day estim deliveri date seem pretti unreli tesla sale agent pretti consist say deliveri still febmarch pay much attent chang date vin assign hope settl,0
203,sa said vin match complet th,0
204,log morn found final suppli vin also updat screen advis chang rang ryzen chip lock moon model lr redwhit od canberra,1
205,check possibl order agreement certain nt updat site yet nt build date vin ifwhen find let know edit saw gilr respons look like get invoic,0
206,canberra lrs start flow ca nt wait receiv one melbourn od model lr whiteblack melbourn vin yet,0
207,absolut must around corner order sure car boat lucki receiv vin earlier estim deliveri account februari februari line week eta preorder,0
208,mp given vin yet,0
209,arriv dock today assum sydney order truck next week vin allocar deliveri date feb feb,0
210,vin p suspect alloc yet see,0
211,still vin hidden otherwis invoic sydney mlr whiteblack od anyon get lr vin sydney recent,0
212,hey guy fist time poster want get advic expect deliveri even vin alloc said order car arriv end feb earli march still case thank sydney msr whitewhit inch od,0
213,order day spec vin alloc alreadi consid time good chanc also ship inbound,0
214,vin alloc system littl order date built know vin alloc yet yet find built factori return product new year break,0
215,sorri may miss anyon know sure model rwd would come mcu amd chip vin assign australia day final invoic show build date,0
216,day midnight silver tesla lr final get put wheel aussi soil long month soon come end car unload go custom import procedur matter find car transport compani use abl track car use vin number,0
217,think rep mistaken big one origin said two ship way much smaller number tesla compar big one come knowledg though mida crystal come quarter sinc discuss rep receiv vin paid invoic edd show next week week guess car crystal reach rep find exact ship car post find cutoff q aus car appar around th dec order model lr red white interior date edd th feb vin yes locat canberra,0
218,float around part accruat order date nt mean much vin alloc seen later vin,0
219,chanc earlier order miss vin alloc,0
220,order make chang vin one alloc call tesla guy mida pk crystal brisban th pk th,0
221,order nov nt vin yet understand vedaprim said nt realli problem yet edd still week order date,0
222,order base white rwd app show week anyon situat updat tesla advis base order date expect vin alloc next week appar huge backlog order hmmm,0
223,vin alloc hard base order date goe product line expect vin alloc qtr,0
224,quit well vers thing bring see product plan q go base q number know time mid novemb nt build strict vin number order plan schedul build alloc build order expect vin alloc quarter also know order car,0
225,wonder vin assign random order car isnât possibl order time may go unfil exampl know peopl novemb wait vin someon januari one extrem bizarr system iâd pretti upset happen,0
226,mp exterior black interior black od edd na vin na deliveri mulgrav app stil show week deliveri chase sa got told email everyth still track vin alloc within next week two,0
227,may wrong got figur car mida invoic got invoic mida sail shanghai basi got figur vin invoic car crystal must forthcom week almost sound like order car avail,0
228,yeah got feel deliveri mine may order say week sale rep cant tell get vin guess longer wait,0
229,incorrect inform circul order date mean littl vin alloc process,0
230,spoke sa indic massiv backlog admin inform await input system factori end also weird mention australian staff go input dataalloc quarter order help factori catch mention chines new year reason confirm definit q expect vin detail friday side note origin said next week begin call saw date friday said actual friday could bs could told alloc complet week,0
231,god tesla order process infuri order januari probabl vin alreadi,0
232,happi least got vin deliveri around corner peopl nt receiv anyth talk peopl order nov,0
233,order end nov model silverblack int receiv vin deliveri date estim deliveri februari march live sydney,1
234,sound like new vin alloc also sound like forthcom ship mida crystal,0
235,welcom rabbit hole get vin today,0
236,see mida leav pk midnight mean car start process tomorrow suspect everyon car alloc mida vin invoic without ship sail crystal due pk th feb reason leav brisban th could delay timet fit confirm deliveri end feb begin march would seem vin invoic process mida alreadi alloc howev let say thing got control china doubt alloc would think would need complet end week problem vedaprim said mani time demand outstrip suppli mani order enough car waitlist world month tesla run quarter behind order nt know vedaprim identifi anoth shipment march without give much away hesh may least confirm deni,0
237,order canberra mp blueblack got updat via telsacom around pm good news vin alloc bad news estim deliveri grown week guess crystal,1
238,got vin estim deliv march edit total coincid liter min join vedaprim servic went communic tesla vin deliveri window payment info black magic,1
239,wish standard respons let know updat get realli soon nt blame job job assign vin invoic guess mlr whiteblack vin melbourn,0
240,thank updat order post prior order date get vin hope rwd order standard whiteblack get vin edd soon late march better late april glad final get confirm mid decemb order luck soon relax get back order accessori nt realli need,0
241,also receiv vin mp od est deliveri date march melb anoth ship sneak beat end qtr,1
242,ok long rwd blueblack melbourn od vin ad aedt got aw lambda run everi minut look chang edd march â march look like order latest one,0
243,mp chang order got vin morn march deliveri,1
244,wow look like vin come fast last night got vin appear morn well sr redblack adelaid od vin sure find build date deliveri date yet edd blank pretti much whole time origin expect earli march,1
245,congrat receiv notificationtext got vin assign still wait mine,0
246,hope today full lr vin assign lot rwd p model far,0
247,mlr red black vin yet well still show week edd hope lrs get vin assign soon,0
248,also got mine last night sr whiteblack adelaid od vin,1
249,creat account post interest receiv updat order wasnât expect q given order date must cancel home page updat request payment vin found sourc code model rwd ext msm int black od vin edd march march locat sydney,1
250,get lr red white interior got vin invoic last week estim deliveri next week week order date locat canberra,0
251,yes got vin minut ago link provid app still show week ed tho,1
252,hi everyon thought join white rwd black interior od howev initi place order cancel edd week vin yet locat melbourn get feel nt vin alloc yet due initi cancel also pay larger order fee second time around mistak nt know get vin time around anxious wait tesla advisor respond question haha,0
253,correct display final invoic receiv vin tuesday push sa get invoic receiv today,0
254,final join happi club vin model rwd od white exterior black interior vin receiv today ed brisban,1
255,think vin alloc process chang mayb discuss q judg build date receiv vin invoic requir pay either luck alloc manual seem record time,1
256,put link browser replac xxx order number vin appear right click copi link,0
257,yes vin receiv happi,1
258,anyon order mlr white black interior locat sydney got vin yet order got noth,0
259,vin yet brisban order,0
260,spec od sydney vin itâ stuf week even get vin week get car earlier middl mar advertis week canât happi,0
261,receiv vin min ago model rdw ext white int black od vin lrwfxxxxxx edd march march,1
262,got vin earli jan lr whitebalck od vin edd feb,0
263,differ vedaprim give factual updat time time wonât get main benefit vin cours itâ worth join itâ,0
264,still vin od nov longrang black ext white int hope week sinc lot seem come,0
265,also vin lr white white interior order chatswood deliveri regard stephen,0
266,pray lucki vin make corpor plan deliveri cutoff date model rwd ext white int black od vin null edd null,0
267,found hidden vin today order estim deliveri alexandria lfp motor best time pay balanc,1
268,omg found vin sourc nt hour ago good sign right,1
269,model build date th jan hope vin come next day see lot vin assign magic two day,0
270,think shanghai tesla made lot rwd day order date got hidden vin wednesday,1
271,basic vin suppos rd ship assign order date lr earli see assign vin yet rwd similar date deliv next week outta frustrat come regular find assign vin yet rwd jan assign vin honest wait nt increas chanc assign vin excit till last week hope get car coupl week accord sa seem like earliest would late march,0
272,probabl best caus undu stress worth mental load hope get vin soon,0
273,vin came around morn rwd whiteblack edd march vin xx new one understand frustrat wait vin come batch look like rwd done done expect lrp next join veda inform help reckon heap deliveri happen end march tesla nt care order date etc realli infuri watch peopl order week ago get vin sit around month,1
274,hidden vin model rwd whiteblack expect deliveri rdst mar alexandria,1
275,updat hidden vin refer model rwd ext white int black od vin lrwffsncxxxxxx assign feb th edd march alexandria,0
276,canberra unabl last nov car readi car readi would nt bring canberra lock deliveri date paid final invoic nt tesla shop point use rd parti freight compani possibl reason assign vin get final invoic fair soon mayb week wait invoic latest edd given paid nt worri time clear issu someth went wrong,0
277,anyon know lr get vin quarter sure memori least half lr order got vin mayb half know expect vin assign etc etc ok see rwd one day p,0
278,got exact today around edd end march edit vin appear sourc code somehow car got expens need pay extra,1
279,yes order experi exit thought would reason decid push back p lr model order rememb wait time p longer lr calcul actual week sinc order day week insan hope lr got vin well,0
280,yes got edd march vin agre itâ probabl still china,1
281,look day vin actual show account page ownership page show display though,0
282,mine white interior vin today,1
283,got text messag tesla schedul deliveri appoint option choos th th th feb obvious chose th week go rwd sr white ext black int order date vin assign invoic issu vehicl build date estim deliveri date februari februari locat melbourn,0
284,final got vin today although got sever messag say iâd assign vin other say iâd unassign od lr blue black canberra edd mar,1
285,similar sr ex white black order built date invoic vin late jan text today autonexus car deliv south australia earli march,0
286,final updat edd thst march vin found use,1
287,long time lurker vin final invoic order chatswood anyon order chatswood deliveri text yet,1
288,observ vin reveal order date general speak might case someon order two day might get vin rest assur someon order lr day would nt get vin got mine yesterday time someon order day hope get wed next week seem like vin assign lrs hope od melbourn,0
289,order mine lr red still vin,0
290,thank dansyd spoke yesterday told march deliveri though ask would vin come realli think whole tesla deliveri system spars detail,0
291,nt recal ever told vin car buy track car current vehicl journey europ dealer told name ship,0
292,order date still say week locat brisban lr red black int sa told vin alloc end week,0
293,everyth except white ext bris rep thought vin yesterday realli hope today day,0
294,need vin number buy insur use nrma chargfox charg network ev rebat stamp duti appli final invoic rego paper deliveri deliveri super fast noth need prepar car day deliveri warranti problem first ten day bring car servic centr look free,0
295,well quit differ experi sa proactiv call vin confirm respons contact happi sale experi,0
296,use chrome desktop browser right click websit main account page view sourc find ctrlf text estim deliveri find vin check vin assign,0
297,rwd vin xxx report build date deliveri rang given tas anyon vic match spec could add day estim,0
298,hi make partial full payment way see account tesla fund think make small payment first check receiv okay transfer larger balanc white lr vin x deliveri date updat st march th march get closer regard stephen,0
299,thank kevaccount dansyd great appreci love car kevaccount mine exact lr whitewhit current deliveri window march march got vin long wait chase sa final invoic regard stephen,0
300,open account look âorder agreementâ link may invoic alreadi would worri least anoth week two say got invoic vin receiv date,0
